ano,categoria,setor_detalhado,ganho_medio_mensal
2007,01. Quadros superiores,"A. Agricultura, produção animal, caça, floresta e pesca",1715.6
2007,01. Quadros superiores,B. Indústrias extrativas,2361.8
2007,01. Quadros superiores,C. Indústrias transformadoras,2521.6
2007,01. Quadros superiores,"D. Eletricidade, gás, vapor, água quente e fria e ar frio",3344.0
2007,01. Quadros superiores,"E. Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",2384.0
2007,01. Quadros superiores,F. Construção,2090.0
2007,01. Quadros superiores,"G. Comércio por grosso e a retalho, reparação de veículos automóveis e motociclos",2308.4
2007,01. Quadros superiores,H. Transportes e armazenagem,3255.7
2007,01. Quadros superiores,"I. Alojamento, restauração e similares",1597.9
2007,01. Quadros superiores,J. Atividades de informação e de comunicação,2842.0
2007,01. Quadros superiores,K. Atividades financeiras e de seguros,3593.9
2007,01. Quadros superiores,L. Atividades imobiliárias,2173.2
2007,01. Quadros superiores,"M. Atividades de consultoria, científicas, técnicas e similares",2222.6
2007,01. Quadros superiores,N. Atividades administrativas e dos serviços de apoio,2422.7
2007,01. Quadros superiores,"O. Administração Pública e Defesa, e Segurança Social obrigatória",2122.6
2007,01. Quadros superiores,P. Educação,1691.7
2007,01. Quadros superiores,Q. Atividades de saúde humana e apoio  social,1791.9
2007,01. Quadros superiores,"R. Atividades artísticas, de espetáculos, desportivas e recreativas",2389.1
2007,01. Quadros superiores,S. Outras atividades de serviços,1737.0
2007,01. Quadros superiores,U. Atividades dos organismos internacionais e outras instituições extra-territoriais,1447.9
2007,02. Quadros médios,"A. Agricultura, produção animal, caça, floresta e pesca",1444.7
2007,02. Quadros médios,B. Indústrias extrativas,2039.2
2007,02. Quadros médios,C. Indústrias transformadoras,1743.0
2007,02. Quadros médios,"D. Eletricidade, gás, vapor, água quente e fria e ar frio",2591.8
2007,02. Quadros médios,"E. Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",1955.0
2007,02. Quadros médios,F. Construção,1564.8
2007,02. Quadros médios,"G. Comércio por grosso e a retalho, reparação de veículos automóveis e motociclos",1633.3
2007,02. Quadros médios,H. Transportes e armazenagem,2430.7
2007,02. Quadros médios,"I. Alojamento, restauração e similares",1206.1
2007,02. Quadros médios,J. Atividades de informação e de comunicação,1868.1
2007,02. Quadros médios,K. Atividades financeiras e de seguros,2560.4
2007,02. Quadros médios,L. Atividades imobiliárias,1485.4
2007,02. Quadros médios,"M. Atividades de consultoria, científicas, técnicas e similares",1274.1
2007,02. Quadros médios,N. Atividades administrativas e dos serviços de apoio,1570.5
2007,02. Quadros médios,"O. Administração Pública e Defesa, e Segurança Social obrigatória",1667.7
2007,02. Quadros médios,P. Educação,1430.4
2007,02. Quadros médios,Q. Atividades de saúde humana e apoio  social,1295.2
2007,02. Quadros médios,"R. Atividades artísticas, de espetáculos, desportivas e recreativas",1634.5
2007,02. Quadros médios,S. Outras atividades de serviços,1324.2
2007,02. Quadros médios,U. Atividades dos organismos internacionais e outras instituições extra-territoriais,4386.9
2007,"03. Encarregados, contra mestres e chefes de equipa","A. Agricultura, produção animal, caça, floresta e pesca",1026.1
