01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
1985,Portugal,,Homens,,,, euros,160.9
1985,Portugal,,Mulheres,,,, euros,125.4
1985,Portugal,,Total,,,, euros,149.9
1986,Portugal,,Homens,,,, euros,192.0
1986,Portugal,,Mulheres,,,, euros,149.9
1986,Portugal,,Total,,,, euros,178.4
1987,Portugal,,Homens,,,, euros,220.6
1987,Portugal,,Mulheres,,,, euros,172.2
1987,Portugal,,Total,,,, euros,204.7
1988,Portugal,,Homens,,,, euros,243.6
1988,Portugal,,Mulheres,,,, euros,189.6
1988,Portugal,,Total,,,, euros,225.3
1989,Portugal,,Homens,,,, euros,276.4
1989,Portugal,,Mulheres,,,, euros,212.8
1989,Portugal,,Total,,,, euros,254.0
1990,Portugal,,Homens,,,x, euros,
1990,Portugal,,Mulheres,,,x, euros,
1990,Portugal,,Total,,,x, euros,
1991,Portugal,,Homens,,,, euros,382.5
1991,Portugal,,Mulheres,,,, euros,290.7
1991,Portugal,,Total,,,, euros,348.7
1992,Portugal,,Homens,,,, euros,438.3
1992,Portugal,,Mulheres,,,, euros,332.3
1992,Portugal,,Total,,,, euros,398.2
1993,Portugal,,Homens,,,, euros,486.2
1993,Portugal,,Mulheres,,,, euros,371.5
1993,Portugal,,Total,,,, euros,443.0
1994,Portugal,,Homens,,,, euros,523.0
1994,Portugal,,Mulheres,,,, euros,407.7
1994,Portugal,,Total,,,, euros,477.9
1995,Portugal,,Homens,,,, euros,542.8
1995,Portugal,,Mulheres,,,, euros,416.8
1995,Portugal,,Total,,,, euros,493.0
1996,Portugal,,Homens,,,, euros,573.7
1996,Portugal,,Mulheres,,,, euros,442.9
1996,Portugal,,Total,,,, euros,521.8
1997,Portugal,,Homens,,,, euros,589.5
1997,Portugal,,Mulheres,,,, euros,454.1
1997,Portugal,,Total,,,, euros,534.8
1998,Portugal,,Homens,,,, euros,624.7
1998,Portugal,,Mulheres,,,, euros,479.3
1998,Portugal,,Total,,,, euros,565.4
1999,Portugal,,Homens,,,, euros,648.7
1999,Portugal,,Mulheres,,,, euros,497.4
1999,Portugal,,Total,,,, euros,586.3
2000,Portugal,,Homens,,,, euros,674.7
2000,Portugal,,Mulheres,,,, euros,523.6
2000,Portugal,,Total,,,, euros,612.0
2001,Portugal,,Homens,,,x, euros,
2001,Portugal,,Mulheres,,,x, euros,
2001,Portugal,,Total,,,x, euros,
2002,Portugal,,Homens,,,, euros,744.2
2002,Portugal,,Mulheres,,,, euros,599.5
2002,Portugal,,Total,,,, euros,685.0
2003,Portugal,,Homens,,,, euros,775.9
2003,Portugal,,Mulheres,,,, euros,620.1
2003,Portugal,,Total,,,, euros,711.4
2004,Portugal,,Homens,,,, euros,805.5
2004,Portugal,,Mulheres,,,, euros,645.3
2004,Portugal,,Total,,,, euros,738.8
2005,Portugal,,Homens,,,, euros,832.5
2005,Portugal,,Mulheres,,,, euros,672.0
2005,Portugal,,Total,,,, euros,764.7
2006,Portugal,,Homens,,,, euros,857.6
2006,Portugal,,Mulheres,,,, euros,691.4
2006,Portugal,,Total,,,, euros,786.6
2007,Portugal,,Homens,,,, euros,876.8
2007,Portugal,,Mulheres,,,, euros,712.7
2007,Portugal,,Total,,,, euros,806.1
2008,Portugal,,Homens,,,, euros,916.3
2008,Portugal,,Mulheres,,,, euros,747.7
2008,Portugal,,Total,,,, euros,843.2
2009,Portugal,,Homens,,,, euros,940.5
2009,Portugal,,Mulheres,,,, euros,773.5
2009,Portugal,,Total,,,, euros,867.5
2010,Portugal,,Homens,,,, euros,976.7
2010,Portugal,,Mulheres,,,, euros,800.8
2010,Portugal,,Total,,,, euros,899.0
2011,Portugal,,Homens,,,, euros,984.2
2011,Portugal,,Mulheres,,,, euros,807.5
2011,Portugal,,Total,,,, euros,905.1
2012,Portugal,,Homens,,,, euros,999.0
2012,Portugal,,Mulheres,,,, euros,813.7
2012,Portugal,,Total,,,, euros,914.1
2013,Portugal,,Homens,,,, euros,993.2
2013,Portugal,,Mulheres,,,, euros,815.6
2013,Portugal,,Total,,,, euros,911.5
2014,Portugal,,Homens,,,, euros,981.7
2014,Portugal,,Mulheres,,,, euros,818.5
2014,Portugal,,Total,,,, euros,906.8
2015,Portugal,,Homens,,,, euros,986.5
2015,Portugal,,Mulheres,,,, euros,823.2
2015,Portugal,,Total,,,, euros,911.2
2016,Portugal,,Homens,,,, euros,994.0
